gender,ethnicity,parental education,free lunch,test prep,score
1,3,0,0,0,69
0,3,1,0,1,92
1,3,0,1,1,70
0,1,0,1,1,67.66666667
1,3,1,0,1,84.66666667
0,2,2,0,1,59.66666667
1,4,1,0,1,81.66666667
1,1,2,0,1,55
0,2,2,0,1,76
1,2,3,0,0,67.66666667
0,1,2,0,1,70.66666667
0,1,4,0,1,50.66666667
0,1,3,1,1,75.33333333
0,0,0,0,1,71
0,2,4,1,1,53.66666667
0,4,4,1,1,48.33333333
1,2,0,1,1,41
1,2,5,0,1,86.66666667
1,4,1,1,1,82.33333333
1,3,1,0,0,70
0,2,5,1,1,64.66666667
1,3,1,0,0,71.33333333
1,1,0,0,1,70.66666667
0,4,1,0,1,87.66666667
0,3,1,0,0,90.66666667
0,1,0,0,1,76.33333333
0,3,5,1,1,53.66666667
0,3,2,0,1,65
1,4,1,0,1,76.66666667
0,3,1,0,1,87.66666667
1,1,1,0,0,82
1,3,1,1,1,74.33333333
1,1,5,1,0,74
1,3,4,1,1,34.66666667
0,3,5,0,0,82
1,0,2,0,1,54.66666667
1,4,0,1,1,72.66666667
0,3,1,0,0,68.66666667
0,2,1,1,0,82
0,4,4,0,1,84
0,2,1,1,0,46.66666667
0,2,1,0,0,78.33333333
0,1,5,0,1,80
0,3,0,0,1,69.66666667
1,1,5,0,1,54
0,2,3,0,1,66.33333333
0,0,1,0,0,89.33333333
0,2,0,0,0,74.66666667
1,4,5,0,1,55.66666667
0,3,2,0,0,79
1,4,5,1,0,72
1,4,4,1,0,80.33333333
0,3,2,0,1,89
1,1,0,0,0,71
0,2,5,0,1,66.33333333
1,2,0,0,1,62.33333333
1,3,4,0,1,74
1,4,2,0,0,91.66666667
1,2,3,0,1,81
0,2,2,0,1,66.33333333
0,3,2,0,0,77
0,2,2,1,0,65
1,3,0,1,1,78
1,2,1,0,1,65.33333333
1,1,5,1,1,68.66666667
1,1,1,1,1,35
0,2,5,1,1,72.66666667
1,1,2,1,0,84
1,2,5,1,1,58.33333333
0,3,1,0,1,74.33333333
0,2,2,0,0,80.66666667
1,3,0,1,0,75.33333333
1,2,2,0,1,29.66666667
1,3,2,1,0,52.66666667
0,4,0,0,0,54
0,1,3,0,1,51.66666667
0,1,1,1,0,88
0,2,0,0,1,58.33333333
0,0,1,0,0,78
0,1,5,0,1,61
0,2,1,0,1,83
0,3,4,1,0,93
1,0,0,0,1,46.33333333
0,2,0,0,0,75.33333333
1,3,0,0,1,83.66666667
0,3,4,0,1,96
1,3,2,0,0,61.33333333
0,4,0,0,1,87.33333333
0,1,4,0,1,64.33333333
0,2,3,0,1,61.33333333
0,2,1,1,0,66.66666667
1,2,3,0,1,70.66666667
0,2,0,0,1,44
0,3,0,0,1,76.33333333
1,2,0,0,1,80.66666667
1,2,1,0,0,94.66666667
1,3,0,0,0,79.66666667
1,1,1,0,1,77
1,1,5,1,0,86.66666667
0,2,0,1,1,69.66666667
0,3,5,0,1,78
0,2,3,0,1,54
0,3,1,0,1,68.66666667
1,2,0,1,1,53.66666667
1,2,5,1,1,83.33333333
1,3,2,0,1,74.33333333
1,1,2,0,0,72.33333333
1,1,2,0,1,71.33333333
